	feature
0	ENSMUSG00000000001
1	ENSMUSG00000000028
2	ENSMUSG00000000056
3	ENSMUSG00000000078
4	ENSMUSG00000000085
5	ENSMUSG00000000088
6	ENSMUSG00000000125
7	ENSMUSG00000000127
8	ENSMUSG00000000131
9	ENSMUSG00000000134
10	ENSMUSG00000000142
11	ENSMUSG00000000148
12	ENSMUSG00000000149
13	ENSMUSG00000000167
14	ENSMUSG00000000168
15	ENSMUSG00000000171
16	ENSMUSG00000000184
17	ENSMUSG00000000194
18	ENSMUSG00000000253
19	ENSMUSG00000000275
20	ENSMUSG00000000276
21	ENSMUSG00000000278
22	ENSMUSG00000000282
23	ENSMUSG00000000295
24	ENSMUSG00000000296
25	ENSMUSG00000000301
26	ENSMUSG00000000303
27	ENSMUSG00000000305
28	ENSMUSG00000000325
29	ENSMUSG00000000326
30	ENSMUSG00000000339
31	ENSMUSG00000000340
32	ENSMUSG00000000346
33	ENSMUSG00000000355
34	ENSMUSG00000000365
35	ENSMUSG00000000374
36	ENSMUSG00000000378
37	ENSMUSG00000000384
38	ENSMUSG00000000399
39	ENSMUSG00000000409
40	ENSMUSG00000000420
41	ENSMUSG00000000439
42	ENSMUSG00000000441
43	ENSMUSG00000000486
44	ENSMUSG00000000531
45	ENSMUSG00000000532
46	ENSMUSG00000000552
47	ENSMUSG00000000555
48	ENSMUSG00000000561
49	ENSMUSG00000000563
50	ENSMUSG00000000567
51	ENSMUSG00000000568
52	ENSMUSG00000000579
53	ENSMUSG00000000581
54	ENSMUSG00000000594
55	ENSMUSG00000000600
56	ENSMUSG00000000605
57	ENSMUSG00000000628
58	ENSMUSG00000000631
59	ENSMUSG00000000711
60	ENSMUSG00000000730
61	ENSMUSG00000000738
62	ENSMUSG00000000740
63	ENSMUSG00000000743
64	ENSMUSG00000000751
65	ENSMUSG00000000759
66	ENSMUSG00000000776
67	ENSMUSG00000000782
68	ENSMUSG00000000787
69	ENSMUSG00000000804
70	ENSMUSG00000000805
71	ENSMUSG00000000823
72	ENSMUSG00000000826
73	ENSMUSG00000000827
74	ENSMUSG00000000838
75	ENSMUSG00000000861
76	ENSMUSG00000000876
77	ENSMUSG00000000881
78	ENSMUSG00000000884
79	ENSMUSG00000000902
80	ENSMUSG00000000915
81	ENSMUSG00000000916
82	ENSMUSG00000000934
83	ENSMUSG00000000957
84	ENSMUSG00000000958
85	ENSMUSG00000000959
86	ENSMUSG00000000976
87	ENSMUSG00000001016
88	ENSMUSG00000001017
89	ENSMUSG00000001018
90	ENSMUSG00000001034
91	ENSMUSG00000001036
92	ENSMUSG00000001039
93	ENSMUSG00000001052
94	ENSMUSG00000001053
95	ENSMUSG00000001054
96	ENSMUSG00000001056
97	ENSMUSG00000001062
98	ENSMUSG00000001065
99	ENSMUSG00000001082
100	ENSMUSG00000001089
101	ENSMUSG00000001098
102	ENSMUSG00000001100
103	ENSMUSG00000001105
104	ENSMUSG00000001120
105	ENSMUSG00000001127
106	ENSMUSG00000001131
107	ENSMUSG00000001134
108	ENSMUSG00000001138
109	ENSMUSG00000001143
110	ENSMUSG00000001150
111	ENSMUSG00000001151
112	ENSMUSG00000001157
113	ENSMUSG00000001158
114	ENSMUSG00000001173
115	ENSMUSG00000001175
116	ENSMUSG00000001211
117	ENSMUSG00000001228
118	ENSMUSG00000001229
119	ENSMUSG00000001240
120	ENSMUSG00000001247
121	ENSMUSG00000001248
122	ENSMUSG00000001249
123	ENSMUSG00000001270
124	ENSMUSG00000001280
125	ENSMUSG00000001285
126	ENSMUSG00000001288
127	ENSMUSG00000001289
128	ENSMUSG00000001300
129	ENSMUSG00000001305
130	ENSMUSG00000001313
131	ENSMUSG00000001348
132	ENSMUSG00000001349
133	ENSMUSG00000001366
134	ENSMUSG00000001376
135	ENSMUSG00000001380
136	ENSMUSG00000001383
137	ENSMUSG00000001403
138	ENSMUSG00000001415
139	ENSMUSG00000001416
140	ENSMUSG00000001418
141	ENSMUSG00000001419
142	ENSMUSG00000001420
143	ENSMUSG00000001424
144	ENSMUSG00000001435
145	ENSMUSG00000001436
146	ENSMUSG00000001440
147	ENSMUSG00000001441
148	ENSMUSG00000001445
149	ENSMUSG00000001467
150	ENSMUSG00000001472
151	ENSMUSG00000001473
152	ENSMUSG00000001482
153	ENSMUSG00000001507
154	ENSMUSG00000001517
155	ENSMUSG00000001518
156	ENSMUSG00000001521
157	ENSMUSG00000001524
158	ENSMUSG00000001525
159	ENSMUSG00000001542
160	ENSMUSG00000001552
161	ENSMUSG00000001555
162	ENSMUSG00000001569
163	ENSMUSG00000001576
164	ENSMUSG00000001583
165	ENSMUSG00000001604
166	ENSMUSG00000001627
167	ENSMUSG00000001630
168	ENSMUSG00000001632
169	ENSMUSG00000001642
170	ENSMUSG00000001663
171	ENSMUSG00000001665
172	ENSMUSG00000001666
173	ENSMUSG00000001672
174	ENSMUSG00000001674
175	ENSMUSG00000001687
176	ENSMUSG00000001700
177	ENSMUSG00000001707
178	ENSMUSG00000001729
179	ENSMUSG00000001750
180	ENSMUSG00000001755
181	ENSMUSG00000001761
182	ENSMUSG00000001767
183	ENSMUSG00000001774
184	ENSMUSG00000001783
185	ENSMUSG00000001785
186	ENSMUSG00000001786
187	ENSMUSG00000001794
188	ENSMUSG00000001827
189	ENSMUSG00000001829
190	ENSMUSG00000001833
191	ENSMUSG00000001844
192	ENSMUSG00000001847
193	ENSMUSG00000001855
194	ENSMUSG00000001864
195	ENSMUSG00000001870
196	ENSMUSG00000001891
197	ENSMUSG00000001909
198	ENSMUSG00000001910
199	ENSMUSG00000001918
200	ENSMUSG00000001924
201	ENSMUSG00000001942
202	ENSMUSG00000001948
203	ENSMUSG00000001962
204	ENSMUSG00000001964
205	ENSMUSG00000001983
206	ENSMUSG00000001985
207	ENSMUSG00000001995
208	ENSMUSG00000001998
209	ENSMUSG00000001999
210	ENSMUSG00000002006
211	ENSMUSG00000002010
212	ENSMUSG00000002014
213	ENSMUSG00000002015
214	ENSMUSG00000002017
215	ENSMUSG00000002028
216	ENSMUSG00000002031
217	ENSMUSG00000002043
218	ENSMUSG00000002052
219	ENSMUSG00000002055
220	ENSMUSG00000002058
221	ENSMUSG00000002059
222	ENSMUSG00000002064
223	ENSMUSG00000002068
224	ENSMUSG00000002076
225	ENSMUSG00000002083
226	ENSMUSG00000002102
227	ENSMUSG00000002103
228	ENSMUSG00000002107
229	ENSMUSG00000002109
230	ENSMUSG00000002129
231	ENSMUSG00000002147
232	ENSMUSG00000002205
233	ENSMUSG00000002210
234	ENSMUSG00000002221
235	ENSMUSG00000002222
236	ENSMUSG00000002227
237	ENSMUSG00000002233
238	ENSMUSG00000002250
239	ENSMUSG00000002265
240	ENSMUSG00000002274
241	ENSMUSG00000002279
242	ENSMUSG00000002280
243	ENSMUSG00000002289
244	ENSMUSG00000002297
245	ENSMUSG00000002307
246	ENSMUSG00000002308
247	ENSMUSG00000002319
248	ENSMUSG00000002320
249	ENSMUSG00000002325
250	ENSMUSG00000002326
251	ENSMUSG00000002329
252	ENSMUSG00000002332
253	ENSMUSG00000002341
254	ENSMUSG00000002342
255	ENSMUSG00000002343
256	ENSMUSG00000002345
257	ENSMUSG00000002365
258	ENSMUSG00000002372
259	ENSMUSG00000002379
260	ENSMUSG00000002393
261	ENSMUSG00000002395
262	ENSMUSG00000002409
263	ENSMUSG00000002413
264	ENSMUSG00000002416
265	ENSMUSG00000002428
266	ENSMUSG00000002455
267	ENSMUSG00000002458
268	ENSMUSG00000002477
269	ENSMUSG00000002486
270	ENSMUSG00000002489
271	ENSMUSG00000002496
272	ENSMUSG00000002504
273	ENSMUSG00000002524
274	ENSMUSG00000002546
275	ENSMUSG00000002550
276	ENSMUSG00000002578
277	ENSMUSG00000002580
278	ENSMUSG00000002608
279	ENSMUSG00000002617
280	ENSMUSG00000002625
281	ENSMUSG00000002635
282	ENSMUSG00000002658
283	ENSMUSG00000002660
284	ENSMUSG00000002661
285	ENSMUSG00000002668
286	ENSMUSG00000002679
287	ENSMUSG00000002718
288	ENSMUSG00000002728
289	ENSMUSG00000002731
290	ENSMUSG00000002733
291	ENSMUSG00000002741
292	ENSMUSG00000002748
293	ENSMUSG00000002763
294	ENSMUSG00000002767
295	ENSMUSG00000002768
296	ENSMUSG00000002778
297	ENSMUSG00000002781
298	ENSMUSG00000002797
299	ENSMUSG00000002803
300	ENSMUSG00000002804
301	ENSMUSG00000002808
302	ENSMUSG00000002812
303	ENSMUSG00000002814
