	feature
0	ENSMUSG00000000078
1	ENSMUSG00000000275
2	ENSMUSG00000000278
3	ENSMUSG00000000486
4	ENSMUSG00000000730
5	ENSMUSG00000001016
6	ENSMUSG00000001418
7	ENSMUSG00000001525
8	ENSMUSG00000001552
9	ENSMUSG00000001827
10	ENSMUSG00000001870
11	ENSMUSG00000002014
12	ENSMUSG00000002477
13	ENSMUSG00000002844
14	ENSMUSG00000002985
15	ENSMUSG00000003051
16	ENSMUSG00000003559
17	ENSMUSG00000003812
18	ENSMUSG00000004038
19	ENSMUSG00000004610
20	ENSMUSG00000004929
21	ENSMUSG00000004951
22	ENSMUSG00000008333
23	ENSMUSG00000013160
24	ENSMUSG00000013822
25	ENSMUSG00000015120
26	ENSMUSG00000015656
27	ENSMUSG00000015766
28	ENSMUSG00000017760
29	ENSMUSG00000017861
30	ENSMUSG00000018339
31	ENSMUSG00000018574
32	ENSMUSG00000018593
33	ENSMUSG00000018821
34	ENSMUSG00000019891
35	ENSMUSG00000019916
36	ENSMUSG00000020059
37	ENSMUSG00000020077
38	ENSMUSG00000020180
39	ENSMUSG00000020267
40	ENSMUSG00000020400
41	ENSMUSG00000020451
42	ENSMUSG00000020477
43	ENSMUSG00000020547
44	ENSMUSG00000020605
45	ENSMUSG00000020755
46	ENSMUSG00000020766
47	ENSMUSG00000020840
48	ENSMUSG00000020870
49	ENSMUSG00000021190
50	ENSMUSG00000021278
51	ENSMUSG00000021591
52	ENSMUSG00000021678
53	ENSMUSG00000021738
54	ENSMUSG00000021823
55	ENSMUSG00000021953
56	ENSMUSG00000022051
57	ENSMUSG00000022295
58	ENSMUSG00000022400
59	ENSMUSG00000022683
60	ENSMUSG00000022710
61	ENSMUSG00000022754
62	ENSMUSG00000022952
63	ENSMUSG00000023764
64	ENSMUSG00000024309
65	ENSMUSG00000024354
66	ENSMUSG00000024462
67	ENSMUSG00000024732
68	ENSMUSG00000024975
69	ENSMUSG00000025764
70	ENSMUSG00000026021
71	ENSMUSG00000026421
72	ENSMUSG00000026576
73	ENSMUSG00000026918
74	ENSMUSG00000026921
75	ENSMUSG00000027404
76	ENSMUSG00000027678
77	ENSMUSG00000027956
78	ENSMUSG00000028164
79	ENSMUSG00000028194
80	ENSMUSG00000028601
81	ENSMUSG00000028647
82	ENSMUSG00000028649
83	ENSMUSG00000028763
84	ENSMUSG00000028773
85	ENSMUSG00000028837
86	ENSMUSG00000028902
87	ENSMUSG00000029304
88	ENSMUSG00000029387
89	ENSMUSG00000029482
90	ENSMUSG00000029522
91	ENSMUSG00000029614
92	ENSMUSG00000029622
93	ENSMUSG00000029762
94	ENSMUSG00000030007
95	ENSMUSG00000030605
96	ENSMUSG00000030649
97	ENSMUSG00000030672
98	ENSMUSG00000030681
99	ENSMUSG00000030695
100	ENSMUSG00000030761
101	ENSMUSG00000030851
102	ENSMUSG00000030869
103	ENSMUSG00000030894
104	ENSMUSG00000031146
105	ENSMUSG00000031198
106	ENSMUSG00000031320
107	ENSMUSG00000031367
108	ENSMUSG00000031387
109	ENSMUSG00000031502
110	ENSMUSG00000031503
111	ENSMUSG00000031575
112	ENSMUSG00000031770
113	ENSMUSG00000031827
114	ENSMUSG00000031838
115	ENSMUSG00000032231
116	ENSMUSG00000032324
117	ENSMUSG00000032346
118	ENSMUSG00000032359
119	ENSMUSG00000032495
120	ENSMUSG00000032633
121	ENSMUSG00000032754
122	ENSMUSG00000032796
123	ENSMUSG00000033450
124	ENSMUSG00000033577
125	ENSMUSG00000033685
126	ENSMUSG00000034391
127	ENSMUSG00000034854
128	ENSMUSG00000035215
129	ENSMUSG00000035337
130	ENSMUSG00000036036
131	ENSMUSG00000036098
132	ENSMUSG00000036112
133	ENSMUSG00000036499
134	ENSMUSG00000036534
135	ENSMUSG00000037071
136	ENSMUSG00000037622
137	ENSMUSG00000038009
138	ENSMUSG00000038155
139	ENSMUSG00000038178
140	ENSMUSG00000038366
141	ENSMUSG00000038393
142	ENSMUSG00000038587
143	ENSMUSG00000038648
144	ENSMUSG00000038845
145	ENSMUSG00000039191
146	ENSMUSG00000039202
147	ENSMUSG00000039209
148	ENSMUSG00000039278
149	ENSMUSG00000039329
150	ENSMUSG00000039395
151	ENSMUSG00000039678
152	ENSMUSG00000039713
153	ENSMUSG00000040385
154	ENSMUSG00000040488
155	ENSMUSG00000040564
156	ENSMUSG00000041238
157	ENSMUSG00000041313
158	ENSMUSG00000041355
159	ENSMUSG00000041688
160	ENSMUSG00000042684
161	ENSMUSG00000042750
162	ENSMUSG00000043251
163	ENSMUSG00000043535
164	ENSMUSG00000044317
165	ENSMUSG00000046434
166	ENSMUSG00000046727
167	ENSMUSG00000046934
168	ENSMUSG00000046942
169	ENSMUSG00000047146
170	ENSMUSG00000047501
171	ENSMUSG00000049717
172	ENSMUSG00000050708
173	ENSMUSG00000051176
174	ENSMUSG00000051257
175	ENSMUSG00000053411
176	ENSMUSG00000054263
177	ENSMUSG00000054312
178	ENSMUSG00000056300
179	ENSMUSG00000057836
180	ENSMUSG00000058550
181	ENSMUSG00000058558
182	ENSMUSG00000059040
183	ENSMUSG00000059343
184	ENSMUSG00000060002
185	ENSMUSG00000060373
186	ENSMUSG00000060461
187	ENSMUSG00000060499
188	ENSMUSG00000060803
189	ENSMUSG00000061186
190	ENSMUSG00000061315
191	ENSMUSG00000061559
192	ENSMUSG00000061808
193	ENSMUSG00000062170
194	ENSMUSG00000062480
195	ENSMUSG00000063354
196	ENSMUSG00000064194
197	ENSMUSG00000065999
198	ENSMUSG00000070003
199	ENSMUSG00000070348
200	ENSMUSG00000070708
201	ENSMUSG00000070780
202	ENSMUSG00000071547
203	ENSMUSG00000072244
204	ENSMUSG00000072419
205	ENSMUSG00000074405
206	ENSMUSG00000076441
207	ENSMUSG00000078153
208	ENSMUSG00000078184
209	ENSMUSG00000078249
210	ENSMUSG00000078496
211	ENSMUSG00000078498
212	ENSMUSG00000079184
213	ENSMUSG00000089992
214	ENSMUSG00000090733
215	ENSMUSG00000092335
216	ENSMUSG00000103711
