,peak_ind,gene_ind
0,3,187
1,3,196
2,3,202
3,3,203
4,3,213
5,3,215
6,3,222
7,3,228
8,3,259
9,3,305
10,3,307
11,3,323
12,3,327
13,3,338
14,3,339
15,3,340
16,3,342
17,3,346
18,3,359
19,3,368
20,3,381
21,3,404
22,3,428
23,3,444
24,3,447
25,3,473
26,3,478
27,3,487
28,3,495
29,3,521
30,3,540
31,3,548
32,3,555
33,3,569
34,3,578
35,3,599
36,3,609
37,3,638
38,3,659
39,3,698
40,3,701
41,3,725
42,3,726
43,3,740
44,3,743
45,3,752
46,3,765
47,3,779
48,3,787
49,3,793
50,3,821
51,3,839
52,3,853
53,3,856
54,3,900
55,3,908
56,3,910
57,3,936
58,3,940
59,3,941
60,3,954
61,3,1032
62,3,1040
63,3,1043
64,3,1105
65,3,1108
66,3,1146
67,3,1199
68,3,1231
69,3,1241
70,3,1272
71,3,1291
72,3,1292
73,3,1293
74,3,1298
75,3,1312
76,3,1328
77,3,1331
78,3,1427
79,3,1434
80,3,1441
81,3,1448
82,3,1461
83,3,1464
84,3,1481
85,3,1495
86,3,1498
87,3,1505
88,3,1538
89,3,1539
90,3,1545
91,3,1579
92,3,1581
93,3,1633
94,3,1664
95,3,1678
96,3,1686
97,3,1689
98,3,1699
99,3,1719
100,3,1744
101,3,1750
102,3,1789
103,3,1793
104,3,1794
105,3,1827
106,3,1852
107,3,1858
108,3,1862
109,3,1864
110,3,1955
111,3,1970
112,3,2108
113,3,2109
114,3,2120
115,3,2121
116,3,2137
117,3,2143
118,3,2156
119,3,2157
120,3,2173
121,3,2181
122,3,2193
123,3,2196
124,3,2270
125,3,2274
126,3,2285
127,3,2297
128,3,2313
129,3,2324
130,3,2375
131,3,2378
132,3,2382
133,3,2419
134,3,2421
135,3,2424
136,3,2427
137,3,2467
138,3,2528
139,3,2645
140,3,2647
141,3,2676
142,3,2690
143,3,2729
144,3,2764
145,3,2770
146,3,2779
147,3,2783
148,3,2792
149,3,2816
150,3,2826
151,3,2835
152,3,2867
153,3,2890
154,3,2895
155,3,2917
156,3,2950
157,3,2997
158,3,3024
159,3,3078
160,3,3175
161,3,3226
162,3,3243
163,3,3301
164,3,3360
165,3,3399
166,3,3457
167,3,3482
