pk_pos	gene
chr10-42307909-42308815	ENSMUSG00000000078
chr10-4232886-4233760	ENSMUSG00000000078
chr1-11443017-11443926	ENSMUSG00000000088
chr1-114728896-114729780	ENSMUSG00000000088
chr1-157299335-157300205	ENSMUSG00000000126
chr1-157327135-157327947	ENSMUSG00000000126
chr6-78048445-78049379	ENSMUSG00000000142
chr8-43111137-43112038	ENSMUSG00000000183
chr8-44691014-44691853	ENSMUSG00000000183
chr7-125262426-125263323	ENSMUSG00000000202
chr8-113369447-113370314	ENSMUSG00000000216
chr9-102877663-102878502	ENSMUSG00000000223
chr9-32872622-32873494	ENSMUSG00000000244
chr4-62582470-62583328	ENSMUSG00000000276
chr3-10249121-10249969	ENSMUSG00000000290
chr3-103401153-103402061	ENSMUSG00000000290
chr3-103405860-103406720	ENSMUSG00000000290
chr3-103410710-103411644	ENSMUSG00000000290
chr3-103606398-103607269	ENSMUSG00000000290
chr3-104758197-104759080	ENSMUSG00000000290
chr2-127484225-127485113	ENSMUSG00000000320
chr2-127607988-127608886	ENSMUSG00000000320
chr2-128234824-128235718	ENSMUSG00000000320
chr7-19449011-19449863	ENSMUSG00000000340
chr7-19464561-19465480	ENSMUSG00000000340
chr9-56824863-56825599	ENSMUSG00000000359
chr3-131105701-131106593	ENSMUSG00000000374
chr3-131157319-131158222	ENSMUSG00000000374
chr3-131195799-131196700	ENSMUSG00000000374
chr10-58362475-58363368	ENSMUSG00000000378
chr10-58372213-58373145	ENSMUSG00000000378
chr10-58377540-58378437	ENSMUSG00000000378
chr3-115694917-115695849	ENSMUSG00000000631
chr3-117450182-117451033	ENSMUSG00000000632
chr3-118404049-118404939	ENSMUSG00000000632
chr3-120059686-120060484	ENSMUSG00000000632
chr3-115325363-115326262	ENSMUSG00000000724
chr3-122111082-122111978	ENSMUSG00000000732
chr3-122359210-122360077	ENSMUSG00000000732
chr3-123753963-123754821	ENSMUSG00000000732
chr8-121212941-121213863	ENSMUSG00000000740
chr10-59077682-59078574	ENSMUSG00000000766
chr4-67728946-67729693	ENSMUSG00000000811
chr19-32984235-32985027	ENSMUSG00000000869
chr5-75184533-75185431	ENSMUSG00000000881
chr5-75196745-75197591	ENSMUSG00000000881
chr5-75347313-75348071	ENSMUSG00000000881
chr12-24893761-24894675	ENSMUSG00000001014
chr12-24948121-24949008	ENSMUSG00000001014
chr12-24951906-24952811	ENSMUSG00000001014
chr12-25027148-25028023	ENSMUSG00000001014
chr12-25083252-25084138	ENSMUSG00000001014
chr19-10506955-10507826	ENSMUSG00000001054
chr19-10818375-10819291	ENSMUSG00000001054
chr19-14883755-14884668	ENSMUSG00000001054
chr12-24520860-24521783	ENSMUSG00000001128
chr2-74991551-74992475	ENSMUSG00000001150
chr2-75137618-75138444	ENSMUSG00000001150
chr2-75147321-75148232	ENSMUSG00000001150
chr7-99927062-99927946	ENSMUSG00000001168
chr7-99962757-99963651	ENSMUSG00000001168
chr14-101774407-101775330	ENSMUSG00000001225
chr14-101931081-101931995	ENSMUSG00000001225
chr14-101942620-101943545	ENSMUSG00000001225
chr5-90286295-90287174	ENSMUSG00000001240
chr13-96406787-96407673	ENSMUSG00000001247
chr13-96431496-96432373	ENSMUSG00000001247
chr13-98716675-98717178	ENSMUSG00000001248
chr13-98768142-98769054	ENSMUSG00000001248
chr7-102516692-102517485	ENSMUSG00000001270
chr7-103476640-103477572	ENSMUSG00000001270
chr6-114928190-114929093	ENSMUSG00000001288
chr4-57320473-57321317	ENSMUSG00000001418
chr5-118355577-118356514	ENSMUSG00000001507
chr5-118395826-118396737	ENSMUSG00000001507
chr5-118421884-118422787	ENSMUSG00000001507
chr5-118465126-118465928	ENSMUSG00000001507
chr5-118534021-118534671	ENSMUSG00000001510
chr5-118732079-118732958	ENSMUSG00000001510
chr5-119126851-119127736	ENSMUSG00000001510
