ens_id	symbol	chr	start	end	strand
ENSMUSG00000064370	mt-Cytb	chrMT	14145	15288	+
ENSMUSG00000064368	mt-Nd6	chrMT	13552	14070	-
ENSMUSG00000064367	mt-Nd5	chrMT	11742	13565	+
ENSMUSG00000064363	mt-Nd4	chrMT	10167	11544	+
ENSMUSG00000065947	mt-Nd4l	chrMT	9877	10173	+
ENSMUSG00000064360	mt-Nd3	chrMT	9459	9806	+
ENSMUSG00000064358	mt-Co3	chrMT	8607	9390	+
ENSMUSG00000064357	mt-Atp6	chrMT	7927	8607	+
ENSMUSG00000064356	mt-Atp8	chrMT	7766	7969	+
ENSMUSG00000064354	mt-Co2	chrMT	7013	7696	+
ENSMUSG00000064351	mt-Co1	chrMT	5328	6872	+
ENSMUSG00000064345	mt-Nd2	chrMT	3914	4951	+
ENSMUSG00000064341	mt-Nd1	chrMT	2751	3707	+
ENSMUSG00000023072	Cep89	chr7	35397035	35438689	+
ENSMUSG00000004341	Gpx6	chr13	21312125	21319624	+
ENSMUSG00000073530	Pappa2	chr1	158711727	158980490	-
ENSMUSG00000052105	Mtcl1	chr17	66336982	66449750	-
ENSMUSG00000047710	Champ1	chr8	13869641	13881639	+
ENSMUSG00000028813	CK137956	chr4	127927592	127970951	-
ENSMUSG00000000617	Grm6	chr11	50850685	50866208	+
ENSMUSG00000073888	Ccl27a	chr4	41769467	41774247	-
ENSMUSG00000068696	Gpr88	chr3	116249654	116253503	-
ENSMUSG00000000804	Usp32	chr11	84984442	85140161	-
ENSMUSG00000078945	Naip2	chr13	100144063	100202092	-
ENSMUSG00000009394	Syn2	chr6	115134902	115282006	+
ENSMUSG00000021967	Mrpl57	chr14	57826234	57829296	+
ENSMUSG00000070319	Eif3g	chr9	20894349	20898623	-
ENSMUSG00000048368	Omd	chr13	49582462	49592822	+
ENSMUSG00000021390	Ogn	chr13	49608046	49624501	+
ENSMUSG00000016510	Mtif3	chr5	146951573	146963800	-
ENSMUSG00000057098	Ebf1	chr11	44617317	45008091	+
ENSMUSG00000068818	Olfr1132	chr2	87632583	87637535	-
ENSMUSG00000021391	Cenpp	chr13	49464023	49652785	-
ENSMUSG00000025726	Slc28a1	chr7	81114799	81170416	+
ENSMUSG00000011148	Adssl1	chr12	112620045	112641360	+
ENSMUSG00000031913	Vps4a	chr8	107031222	107045755	+
ENSMUSG00000074882	Cyp2c68	chr19	39688834	39741054	-
ENSMUSG00000043432	Leng9	chr7	4147915	4150374	-
ENSMUSG00000036112	Metap2	chr10	93858489	93897093	-
ENSMUSG00000022877	Hrg	chr16	22951072	22961656	+
ENSMUSG00000075155	Olfr1133	chr2	87645180	87647374	-
ENSMUSG00000048992	Prss32	chr17	23843855	23859776	+
ENSMUSG00000042225	Ammecr1	chrX	142851146	142966728	-
ENSMUSG00000079497	Gm13420	chr2	29744919	29751685	-
ENSMUSG00000096732	Gm8897	chr5	11416418	11421235	+
ENSMUSG00000071317	Bves	chr10	45335772	45372479	+
ENSMUSG00000043631	Ecm2	chr13	49504810	49532789	+
ENSMUSG00000034645	Zyg11a	chr4	108181738	108218048	-
ENSMUSG00000054666	Olfr63	chr17	33264676	33275644	+
ENSMUSG00000021969	Zdhhc20	chr14	57832703	57890276	-
ENSMUSG00000044308	Ubr3	chr2	69897246	70024013	+
ENSMUSG00000066839	Ecsit	chr9	22072246	22085438	-
ENSMUSG00000024114	Prss41	chr17	23836785	23844172	-
ENSMUSG00000037542	Aldh8a1	chr10	21377291	21396585	+
