ens_id	chr	start	end	strand	cpg_den	cpg_sum
ENSMUSG00000000001	chr3	108124213	108129213	-	0.0072	36
ENSMUSG00000000003	chrX	77843262	77848262	-	0.004	20
ENSMUSG00000000028	chr16	18793717	18798717	-	0.0102	51
ENSMUSG00000000037	chrX	161185203	161190203	+	0.0052	26
ENSMUSG00000000049	chr11	108376375	108381375	+	0.0118	59
ENSMUSG00000000056	chr11	121244054	121249054	+	0.011	55
ENSMUSG00000000058	chr6	17282650	17287650	+	0.0098	49
ENSMUSG00000000078	chr13	5863438	5868438	+	0.012	60
ENSMUSG00000000085	chr4	120465233	120470233	+	0.0052	26
ENSMUSG00000000088	chr9	57524350	57529350	+	0.007	35
ENSMUSG00000000093	chr11	85834749	85839749	+	0.034	170
ENSMUSG00000000094	chr11	85898759	85903759	+	0.0104	52
ENSMUSG00000000103	chrY	2135712	2140712	-	0.0026	13
ENSMUSG00000000120	chr11	95575776	95580776	-	0.0202	101
ENSMUSG00000000125	chr11	103793553	103798553	+	0.0168	84
ENSMUSG00000000126	chr11	59317740	59322740	+	0.0076	38
ENSMUSG00000000127	chr17	64015256	64020256	+	0.0078	39
ENSMUSG00000000131	chr7	126148608	126153608	-	0.0072	36
ENSMUSG00000000134	chrX	7766381	7771381	+	0.0144	72
ENSMUSG00000000142	chr11	108933066	108938066	+	0.0192	96
ENSMUSG00000000148	chr5	140709695	140714695	+	0.0126	63
ENSMUSG00000000149	chr5	140791919	140796919	-	0.0076	38
ENSMUSG00000000154	chr7	143484035	143489035	+	0.0078	39
ENSMUSG00000000157	chr16	96430453	96435453	-	0.007	35
ENSMUSG00000000159	chr16	96441124	96446124	+	0.008	40
ENSMUSG00000000167	chr9	50618660	50623660	+	0.0118	59
ENSMUSG00000000168	chr9	50644706	50649706	-	0.0114	57
ENSMUSG00000000171	chr9	50597584	50602584	-	0.0124	62
ENSMUSG00000000182	chr6	127074655	127079655	+	0.0086	43
ENSMUSG00000000183	chr6	127019386	127024386	+	0.0178	89
ENSMUSG00000000184	chr6	127136177	127141177	-	0.0128	64
ENSMUSG00000000194	chr2	31183045	31188045	+	0.009	45
ENSMUSG00000000197	chr14	123449389	123454389	-	0.0032	16
ENSMUSG00000000202	chr11	114791081	114796081	-	0.0336	168
ENSMUSG00000000204	chr11	83180201	83185201	+	0.005	25
ENSMUSG00000000214	chr7	142909440	142914440	-	0.0078	39
ENSMUSG00000000215	chr7	142708518	142713518	-	0.0042	21
ENSMUSG00000000216	chr7	121748977	121753977	+	0.0082	41
ENSMUSG00000000223	chrX	134428062	134433062	+	0.0118	59
ENSMUSG00000000244	chr7	143009845	143014845	+	0.0058	29
ENSMUSG00000000247	chr2	38352007	38357007	+	0.0336	168
ENSMUSG00000000248	chr6	128957044	128962044	+	0.0072	36
ENSMUSG00000000253	chr13	45528122	45533122	+	0.0144	72
ENSMUSG00000000263	chr11	55558718	55563718	-	0.0072	36
ENSMUSG00000000266	chrX	140713657	140718657	+	0.0064	32
ENSMUSG00000000275	chr11	89007334	89012334	+	0.0132	66
ENSMUSG00000000276	chr11	89048514	89053514	-	0.0128	64
ENSMUSG00000000278	chr11	88937242	88942242	-	0.01	50
ENSMUSG00000000282	chr11	74835822	74840822	+	0.0348	174
ENSMUSG00000000290	chr10	77545480	77550480	+	0.0132	66
ENSMUSG00000000295	chr10	31318293	31323293	+	0.008	40
ENSMUSG00000000296	chr10	31386667	31391667	-	0.004	20
